id,slug,pet_number,pet_name,species,age,age_unit,sex,reproductive_status,color,source,image_path,created_at,updated_at
25,feline-puspin-1743498845-nahg9,16,N/A,feline,1,years,male,unknown,tabby,rescued,pet-images/pet16_20250401171405.jpg,01/04/2025 17:14,01/04/2025 17:14
26,feline-puspin-1743506734-zvtjw,19,N/A,feline,1,years,female,unknown,black,rescued,pet-images/pet19_20250401192534.jpg,01/04/2025 19:25,01/04/2025 19:25
27,feline-puspin-1743506840-6e7yd,20,N/A,feline,1,years,female,unknown,bi-color,rescued,pet-images/pet20_20250401192720.jpg,01/04/2025 19:27,01/04/2025 19:27
28,feline-puspin-1743506873-jbozv,20,N/A,feline,8,months,male,unknown,tabby,rescued,pet-images/pet20_20250401192753.jpg,01/04/2025 19:27,01/04/2025 19:27
29,feline-1-1743506926-4ynxk,21,N/A,feline,1,years,male,unknown,bi-color,rescued,pet-images/pet21_20250401192846.jpg,01/04/2025 19:28,01/04/2025 19:29
30,feline-puspin-1743506986-tlxwx,22,N/A,feline,1,years,female,unknown,tri-color,rescued,pet-images/pet22_20250401192945.jpg,01/04/2025 19:29,01/04/2025 19:29
31,feline-puspin-1743507014-twxwg,24,N/A,feline,1,years,male,unknown,bi-color,rescued,pet-images/pet24_20250401193014.jpg,01/04/2025 19:30,01/04/2025 19:30
32,feline-puspin-1743507049-tsnsy,25,N/A,feline,10,months,female,unknown,brindle,rescued,pet-images/pet25_20250401193049.jpg,01/04/2025 19:30,01/04/2025 19:37
33,feline-puspin-1743507085-9x0ax,26,N/A,feline,2,years,female,unknown,bi-color,rescued,pet-images/pet26_20250401193125.jpg,01/04/2025 19:31,01/04/2025 19:31
34,feline-puspin-1743507112-nyrt2,29,N/A,feline,1,years,male,unknown,white,rescued,pet-images/pet29_20250401193152.jpg,01/04/2025 19:31,01/04/2025 19:31
35,feline-puspin-1743508810-ydsbf,99,Kulit,feline,2,months,female,intact,tri-color,surrendered,pet-images/pet99_20250401200010.svg,01/04/2025 20:00,01/04/2025 20:00
36,canine-askal-1743509184-x6j5s,99,N/A,canine,3,months,male,intact,bi-color,surrendered,pet-images/pet99_20250401200624.svg,01/04/2025 20:06,01/04/2025 20:06
37,canine-askal-1743509226-eyjrn,99,Anton,canine,3,months,male,intact,bi-color,other,pet-images/pet99_20250401200706.svg,01/04/2025 20:07,01/04/2025 20:07
38,feline-puspin-1743509302-govai,99,Lilo,feline,8,months,male,neutered,bi-color,other,pet-images/pet99_20250401200822.svg,01/04/2025 20:08,01/04/2025 20:08
40,feline-1743511213-yq7ig,99,Delila,feline,1,years,female,neutered,tri-color,rescued,pet-images/pet99_20250401204013.svg,01/04/2025 20:40,01/04/2025 20:40
41,feline-1743511289-fophh,99,Kitty,feline,1,years,female,neutered,tri-color,rescued,pet-images/pet99_20250401204129.svg,01/04/2025 20:41,01/04/2025 20:41
42,canine-1743511338-ncg2u,99,Javier,canine,2,months,male,intact,bi-color,surrendered,pet-images/pet99_20250401204218.svg,01/04/2025 20:42,01/04/2025 20:42
43,feline-1743511616-gezky,99,Bruno,feline,3,years,male,intact,bi-color,rescued,pet-images/pet99_20250401204656.svg,01/04/2025 20:46,01/04/2025 20:46
44,canine-1743511706-dionr,99,Sophia,canine,2,months,female,intact,brown,surrendered,pet-images/pet99_20250401231057.svg,01/04/2025 20:48,02/04/2025 1:58
45,canine-1743221604-0q1c2,99,Rodel,canine,2,months,male,intact,bi-color,surrendered,pet-images/pet99_20250401222054.svg,29/03/2025 12:13,01/04/2025 22:20
46,canine-1743221604-0q1c3,99,Blacky,canine,4,months,female,intact,black,rescued,pet-images/pet99_20250401230951.svg,29/03/2025 12:13,01/04/2025 23:09
47,feline-1743221604-0q1c4,99,N/A,feline,5,years,female,intact,tri-color,surrendered,pet-images/pet99_20250401231006.svg,29/03/2025 12:13,01/04/2025 23:10
48,canine-1743221604-0q1c5,99,Leleng,canine,4,months,female,intact,brown,surrendered,pet-images/pet99_20250401231017.svg,29/03/2025 12:13,01/04/2025 23:10
